is_canceled,reservation_status,adr
0,Check-Out,95.27
0,Check-Out,108.83
1,Canceled,153.96
0,Check-Out,120.6
0,Check-Out,90.67
1,Canceled,126.67
0,Check-Out,144.4
0,Check-Out,99.5
0,Check-Out,139.4
1,Canceled,73.8
0,Check-Out,89.97
0,Check-Out,123.0
0,Check-Out,123.0
0,Check-Out,123.0
0,Check-Out,144.9
0,Check-Out,153.0
0,Check-Out,131.0
0,Check-Out,100.0
0,Check-Out,65.5
0,Check-Out,123.0
0,Check-Out,123.0
0,Check-Out,131.0
0,Check-Out,104.68
0,Check-Out,166.0
1,Canceled,111.25
0,Check-Out,213.75
0,Check-Out,178.0
0,Check-Out,113.9
0,Check-Out,129.29
0,Check-Out,153.0
0,Check-Out,98.0
0,Check-Out,169.0
1,Canceled,93.0
0,Check-Out,132.29
0,Check-Out,123.0
0,Check-Out,117.22
0,Check-Out,149.0
1,Canceled,164.57
0,Check-Out,107.0
0,Check-Out,117.22
0,Check-Out,119.25
0,Check-Out,123.0
1,Canceled,105.71
0,Check-Out,123.0
0,Check-Out,144.43
1,Canceled,126.0
0,Check-Out,148.3
0,Check-Out,125.22
0,Check-Out,123.0
0,Check-Out,130.0
1,No-Show,133.16
0,Check-Out,78.84
0,Check-Out,80.1
0,Check-Out,193.0
0,Check-Out,88.2
0,Check-Out,90.71
0,Check-Out,114.5
0,Check-Out,120.2
0,Check-Out,79.5
0,Check-Out,117.9
1,Canceled,128.0
0,Check-Out,90.95
0,Check-Out,107.0
0,Check-Out,130.05
0,Check-Out,123.0
1,No-Show,103.8
0,Check-Out,196.0
0,Check-Out,149.4
0,Check-Out,175.71
0,Check-Out,119.7
1,Canceled,100.86
0,Check-Out,100.86
0,Check-Out,82.0
0,Check-Out,73.8
0,Check-Out,117.9
0,Check-Out,82.0
0,Check-Out,150.0
0,Check-Out,161.0
0,Check-Out,64.0
1,Canceled,123.0
0,Check-Out,110.0
0,Check-Out,88.2
0,Check-Out,130.0
0,Check-Out,88.2
0,Check-Out,165.0
0,Check-Out,114.0
1,Canceled,79.5
1,Canceled,132.8
0,Check-Out,120.0
1,Canceled,79.5
0,Check-Out,120.0
1,Canceled,144.2
0,Check-Out,107.2
1,Canceled,120.0
0,Check-Out,120.0
0,Check-Out,163.8
1,Canceled,98.5
1,Canceled,130.5
0,Check-Out,153.0
0,Check-Out,98.5
0,Check-Out,119.7
0,Check-Out,184.6
0,Check-Out,181.22
1,Canceled,100.86
0,Check-Out,100.2
0,Check-Out,134.25
0,Check-Out,96.3
0,Check-Out,83.09
1,Canceled,105.5
0,Check-Out,134.0
0,Check-Out,8.0
0,Check-Out,146.0
1,Canceled,126.0
0,Check-Out,111.15
0,Check-Out,136.2
0,Check-Out,101.8
0,Check-Out,127.0
0,Check-Out,161.5
0,Check-Out,230.67
1,Canceled,65.7
0,Check-Out,180.0
0,Check-Out,168.57
1,Canceled,107.67
1,Canceled,96.9
0,Check-Out,107.0
0,Check-Out,73.41
0,Check-Out,109.9
0,Check-Out,109.9
0,Check-Out,187.5
0,Check-Out,134.0
1,Canceled,91.5
1,Canceled,132.44
0,Check-Out,106.9
1,Canceled,131.86
0,Check-Out,216.13
0,Check-Out,107.0
0,Check-Out,107.0
0,Check-Out,107.0
0,Check-Out,107.0
0,Check-Out,107.0
0,Check-Out,190.33
0,Check-Out,107.0
0,Check-Out,94.0
1,Canceled,0.0
0,Check-Out,98.75
0,Check-Out,148.23
0,Check-Out,94.0
0,Check-Out,107.0
0,Check-Out,107.0
0,Check-Out,148.23
0,Check-Out,0.0
0,Check-Out,107.0
0,Check-Out,107.0
0,Check-Out,107.0
0,Check-Out,107.0
0,Check-Out,98.75
1,Canceled,195.0
0,Check-Out,120.6
0,Check-Out,123.2
1,Canceled,112.0
1,Canceled,123.2
0,Check-Out,169.0
0,Check-Out,198.0
1,Canceled,103.5
0,Check-Out,135.6
0,Check-Out,103.5
0,Check-Out,184.0
1,Canceled,134.0
1,Canceled,147.0
1,Canceled,151.33
0,Check-Out,121.33
0,Check-Out,150.2
1,Canceled,139.0
0,Check-Out,150.2
0,Check-Out,75.44
1,Canceled,135.0
0,Check-Out,166.0
1,Canceled,135.0
0,Check-Out,130.0
0,Check-Out,96.3
0,Check-Out,160.0
0,Check-Out,0.0
0,Check-Out,127.25
0,Check-Out,164.0
0,Check-Out,144.5
0,Check-Out,112.0
1,Canceled,134.0
1,Canceled,127.25
0,Check-Out,155.5
1,No-Show,110.5
0,Check-Out,144.5
0,Check-Out,144.5
0,Check-Out,123.0
0,Check-Out,120.6
1,No-Show,107.6
1,Canceled,120.6
0,Check-Out,107.0
0,Check-Out,133.75
0,Check-Out,103.5
0,Check-Out,84.8
0,Check-Out,107.0
0,Check-Out,107.0
0,Check-Out,84.8
0,Check-Out,107.0
0,Check-Out,195.0
0,Check-Out,164.0
0,Check-Out,195.0
0,Check-Out,125.0
1,Canceled,195.0
0,Check-Out,132.3
0,Check-Out,145.0
0,Check-Out,92.0
0,Check-Out,132.3
0,Check-Out,147.0
0,Check-Out,167.0
0,Check-Out,210.0
0,Check-Out,194.9
0,Check-Out,103.5
0,Check-Out,118.5
0,Check-Out,192.0
0,Check-Out,128.27
0,Check-Out,135.0
0,Check-Out,126.3
1,Canceled,154.0
0,Check-Out,96.3
0,Check-Out,126.3
1,Canceled,136.0
0,Check-Out,118.5
0,Check-Out,116.33
0,Check-Out,164.0
0,Check-Out,147.67
0,Check-Out,145.0
0,Check-Out,147.0
1,Canceled,168.3
0,Check-Out,167.0
0,Check-Out,137.75
0,Check-Out,145.0
0,Check-Out,132.6
1,Canceled,147.0
1,Canceled,157.0
1,Canceled,210.0
0,Check-Out,132.5
0,Check-Out,98.02
0,Check-Out,126.0
0,Check-Out,173.0
0,Check-Out,249.0
0,Check-Out,186.5
0,Check-Out,95.0
0,Check-Out,241.5
0,Check-Out,177.0
0,Check-Out,153.73
0,Check-Out,115.0
1,Canceled,127.03
0,Check-Out,128.25
0,Check-Out,128.25
0,Check-Out,115.0
0,Check-Out,135.0
1,Canceled,167.0
0,Check-Out,135.0
0,Check-Out,124.5
0,Check-Out,98.0
0,Check-Out,98.0
0,Check-Out,135.0
0,Check-Out,88.2
0,Check-Out,120.6
0,Check-Out,154.5
1,Canceled,145.0
0,Check-Out,92.0
1,Canceled,154.0
0,Check-Out,115.0
1,Canceled,110.53
1,Canceled,158.5
0,Check-Out,131.37
1,Canceled,117.71
0,Check-Out,123.0
1,Canceled,158.5
0,Check-Out,117.84
1,Canceled,154.0
0,Check-Out,116.85
0,Check-Out,129.16
1,Canceled,214.0
1,Canceled,115.0
0,Check-Out,123.0
0,Check-Out,123.0
1,Canceled,195.0
0,Check-Out,135.2
0,Check-Out,123.0
0,Check-Out,130.5
0,Check-Out,123.0
1,Canceled,179.1
0,Check-Out,0.0
0,Check-Out,0.0
0,Check-Out,115.0
0,Check-Out,115.0
0,Check-Out,103.5
0,Check-Out,157.0
1,Canceled,135.0
0,Check-Out,111.65
1,Canceled,135.0
1,Canceled,195.0
0,Check-Out,104.0
1,Canceled,135.0
1,Canceled,214.0
0,Check-Out,133.17
1,Canceled,141.33
0,Check-Out,121.01
1,Canceled,240.64
0,Check-Out,167.5
0,Check-Out,152.43
0,Check-Out,148.34
0,Check-Out,167.0
1,Canceled,172.93
1,Canceled,179.1
0,Check-Out,192.5
1,Canceled,92.0
1,Canceled,111.2
0,Check-Out,141.6
0,Check-Out,141.6
0,Check-Out,141.6
1,Canceled,200.0
1,Canceled,200.0
1,Canceled,157.0
0,Check-Out,99.5
1,Canceled,115.0
1,Canceled,195.0
0,Check-Out,103.5
0,Check-Out,207.0
0,Check-Out,163.33
0,Check-Out,151.86
0,Check-Out,95.57
0,Check-Out,112.05
0,Check-Out,160.0
0,Check-Out,103.18
0,Check-Out,153.0
1,Canceled,119.75
1,Canceled,135.0
0,Check-Out,167.69
1,Canceled,195.0
1,Canceled,135.0
1,Canceled,178.4
0,Check-Out,0.0
0,Check-Out,0.0
0,Check-Out,154.0
0,Check-Out,134.0
1,Canceled,112.0
0,Check-Out,194.0
1,Canceled,153.0
1,Canceled,135.0
0,Check-Out,184.0
1,Canceled,210.0
1,Canceled,139.0
0,Check-Out,101.46
1,Canceled,145.0
1,Canceled,173.0
0,Check-Out,217.05
0,Check-Out,164.0
0,Check-Out,173.0
1,Canceled,112.5
0,Check-Out,153.0
0,Check-Out,173.0
0,Check-Out,153.0
0,Check-Out,134.0
0,Check-Out,153.0
1,Canceled,233.0
0,Check-Out,154.0
0,Check-Out,173.0
1,Canceled,135.0
1,Canceled,132.5
0,Check-Out,222.67
1,Canceled,135.0
0,Check-Out,107.0
1,Canceled,127.0
1,Canceled,135.0
0,Check-Out,149.7
1,Canceled,161.25
0,Check-Out,107.0
0,Check-Out,75.44
0,Check-Out,75.44
0,Check-Out,115.0
1,Canceled,159.2
1,Canceled,163.29
1,Canceled,210.0
0,Check-Out,154.0
0,Check-Out,166.0
0,Check-Out,132.5
1,Canceled,107.0
1,Canceled,121.98
0,Check-Out,0.0
0,Check-Out,133.0
0,Check-Out,107.0
0,Check-Out,117.81
0,Check-Out,107.0
1,Canceled,120.6
0,Check-Out,147.0
1,Canceled,153.0
1,Canceled,153.0
1,Canceled,134.0
0,Check-Out,153.0
0,Check-Out,118.0
0,Check-Out,134.0
0,Check-Out,135.0
0,Check-Out,158.77
0,Check-Out,134.0
1,Canceled,134.0
0,Check-Out,142.03
0,Check-Out,240.0
0,Check-Out,134.0
1,Canceled,134.0
0,Check-Out,147.0
0,Check-Out,176.0
1,Canceled,120.6
1,Canceled,166.0
1,Canceled,134.0
0,Check-Out,147.0
0,Check-Out,167.0
0,Check-Out,107.2
1,Canceled,131.63
0,Check-Out,233.05
0,Check-Out,90.12
1,Canceled,120.6
1,Canceled,125.0
1,Canceled,154.0
0,Check-Out,120.6
0,Check-Out,114.25
1,Canceled,107.0
0,Check-Out,88.55
1,Canceled,149.0
0,Check-Out,195.0
1,Canceled,164.0
1,Canceled,154.0
1,Canceled,120.6
0,Check-Out,103.5
0,Check-Out,115.0
1,Canceled,95.02
1,Canceled,132.5
0,Check-Out,209.0
1,Canceled,95.02
1,Canceled,132.5
0,Check-Out,180.0
0,Check-Out,103.18
0,Check-Out,174.01
1,Canceled,133.0
1,Canceled,133.0
0,Check-Out,107.2
0,Check-Out,0.0
1,Canceled,210.0
0,Check-Out,145.0
1,Canceled,195.0
1,Canceled,124.2
1,Canceled,167.0
0,Check-Out,145.0
0,Check-Out,166.0
0,Check-Out,115.0
0,Check-Out,166.0
1,Canceled,120.6
0,Check-Out,162.0
0,Check-Out,153.0
0,Check-Out,133.2
0,Check-Out,134.0
0,Check-Out,107.0
0,Check-Out,145.0
0,Check-Out,145.0
1,Canceled,107.0
0,Check-Out,167.2
1,Canceled,134.0
0,Check-Out,130.0
1,Canceled,164.0
0,Check-Out,149.0
0,Check-Out,154.0
0,Check-Out,195.0
1,Canceled,134.0
0,Check-Out,107.2
1,Canceled,164.0
1,Canceled,183.45
0,Check-Out,159.6
0,Check-Out,120.6
1,Canceled,164.0
1,Canceled,219.43
1,Canceled,134.0
1,Canceled,164.0
0,Check-Out,107.2
0,Check-Out,102.72
0,Check-Out,114.85
0,Check-Out,114.85
0,Check-Out,135.0
1,Canceled,195.0
1,Canceled,173.0
0,Check-Out,107.0
0,Check-Out,107.0
0,Check-Out,164.0
0,Check-Out,138.8
1,Canceled,154.0
0,Check-Out,135.0
0,Check-Out,103.18
1,Canceled,115.5
0,Check-Out,90.95
0,Check-Out,0.0
1,Canceled,108.54
0,Check-Out,146.0
1,Canceled,165.4
0,Check-Out,134.0
1,Canceled,133.0
1,Canceled,240.0
0,Check-Out,157.0
0,Check-Out,188.0
1,Canceled,133.0
0,Check-Out,145.0
0,Check-Out,134.0
1,Canceled,134.0
1,Canceled,186.0
0,Check-Out,90.95
1,Canceled,141.65
1,Canceled,99.24
0,Check-Out,108.06
1,Canceled,90.95
1,Canceled,148.63
1,Canceled,173.0
0,Check-Out,107.0
1,Canceled,114.0
1,Canceled,153.0
0,Check-Out,153.0
0,Check-Out,250.33
1,Canceled,146.67
1,Canceled,154.0
1,Canceled,120.6
0,Check-Out,280.74
0,Check-Out,193.0
1,Canceled,146.67
1,Canceled,154.0
1,Canceled,154.5
1,Canceled,120.6
1,Canceled,137.8
0,Check-Out,160.0
0,Check-Out,125.89
0,Check-Out,125.89
1,Canceled,126.71
0,Check-Out,0.0
0,Check-Out,0.0
0,Check-Out,188.0
1,Canceled,153.0
1,Canceled,173.0
1,Canceled,173.0
0,Check-Out,120.0
1,Canceled,154.8
0,Check-Out,192.0
1,Canceled,153.0
1,Canceled,120.6
0,Check-Out,192.0
1,Canceled,120.6
1,Canceled,164.0
0,Check-Out,219.5
0,Check-Out,192.5
1,Canceled,149.7
1,Canceled,111.92
1,Canceled,120.6
1,Canceled,149.7
1,Canceled,173.0
1,Canceled,112.0
0,Check-Out,57.6
0,Check-Out,214.0
1,Canceled,172.0
0,Check-Out,157.8
0,Check-Out,170.33
0,Check-Out,119.25
0,Check-Out,96.3
1,Canceled,118.06
1,Canceled,118.06
1,Canceled,154.0
1,Canceled,202.0
1,Canceled,134.0
1,Canceled,202.0
1,Canceled,252.0
1,Canceled,233.0
0,Check-Out,211.0
1,Canceled,211.0
1,Canceled,237.0
0,Check-Out,188.29
1,Canceled,120.6
1,Canceled,177.14
1,Canceled,222.14
1,Canceled,127.82
1,Canceled,194.14
1,Canceled,120.6
1,Canceled,144.53
0,Check-Out,185.0
1,Canceled,96.3
0,Check-Out,193.13
1,Canceled,210.78
1,Canceled,169.0
1,Canceled,174.7
1,Canceled,135.53
0,Check-Out,172.0
1,Canceled,144.0
1,Canceled,162.5
1,Canceled,209.6
1,Canceled,209.6
0,Check-Out,195.5
0,Check-Out,186.0
0,Check-Out,163.5
0,Check-Out,180.28
0,Check-Out,174.76
0,Check-Out,116.85
0,Check-Out,159.0
1,Canceled,104.55
0,Check-Out,0.0
0,Check-Out,144.76
1,Canceled,205.0
1,Canceled,123.0
1,Canceled,173.0
1,Canceled,220.55
0,Check-Out,162.14
1,Canceled,119.7
0,Check-Out,77.54
1,Canceled,120.6
1,Canceled,153.0
0,Check-Out,0.0
0,Check-Out,0.0
0,Check-Out,172.0
1,Canceled,221.0
1,Canceled,153.0
0,Check-Out,230.5
0,Check-Out,230.5
1,Canceled,211.0
0,Check-Out,241.0
1,Canceled,211.0
0,Check-Out,90.95
0,Check-Out,188.29
0,Check-Out,90.95
0,Check-Out,187.8
0,Check-Out,0.0
0,Check-Out,0.0
1,Canceled,172.0
0,Check-Out,171.9
0,Check-Out,200.0
1,Canceled,149.4
1,Canceled,154.0
0,Check-Out,148.25
0,Check-Out,172.0
1,Canceled,183.0
1,Canceled,242.6
0,Check-Out,172.0
0,Check-Out,168.71
1,Canceled,166.0
1,Canceled,112.0
0,Check-Out,172.0
1,Canceled,120.6
0,Check-Out,126.0
0,Check-Out,268.0
0,Check-Out,173.0
0,Check-Out,149.2
0,Check-Out,217.2
1,Canceled,239.3
0,Check-Out,181.5
0,Check-Out,154.0
0,Check-Out,173.0
0,Check-Out,181.9
0,Check-Out,0.0
0,Check-Out,114.0
1,Canceled,267.0
0,Check-Out,226.0
1,Canceled,173.0
0,Check-Out,211.0
0,Check-Out,191.0
1,Canceled,173.0
0,Check-Out,173.0
1,Canceled,277.5
0,Check-Out,134.0
1,Canceled,153.0
1,Canceled,186.0
0,Check-Out,107.2
0,Check-Out,221.0
1,Canceled,202.0
1,Canceled,169.0
0,Check-Out,133.5
1,Canceled,154.38
1,Canceled,154.38
0,Check-Out,205.0
0,Check-Out,121.39
0,Check-Out,171.9
1,Canceled,164.0
1,Canceled,134.0
0,Check-Out,250.0
0,Check-Out,208.0
1,Canceled,181.0
0,Check-Out,172.0
0,Check-Out,157.59
0,Check-Out,211.75
0,Check-Out,246.0
1,Canceled,108.54
1,Canceled,186.0
1,Canceled,205.0
1,Canceled,154.0
1,No-Show,200.71
0,Check-Out,252.0
1,Canceled,135.2
0,Check-Out,276.43
1,Canceled,228.0
0,Check-Out,133.0
1,Canceled,205.0
1,Canceled,134.0
1,Canceled,119.7
0,Check-Out,90.95
0,Check-Out,138.0
1,Canceled,134.0
1,Canceled,173.0
0,Check-Out,165.69
0,Check-Out,195.0
0,Check-Out,127.31
0,Check-Out,134.0
1,Canceled,207.0
1,Canceled,211.5
0,Check-Out,210.33
0,Check-Out,211.0
0,Check-Out,154.0
1,Canceled,145.4
1,Canceled,101.25
0,Check-Out,179.38
1,Canceled,166.0
1,Canceled,202.0
1,Canceled,172.0
0,Check-Out,277.0
0,Check-Out,104.0
0,Check-Out,133.0
1,Canceled,214.0
0,Check-Out,130.0
1,Canceled,154.0
0,Check-Out,106.4
1,Canceled,133.0
1,Canceled,120.0
0,Check-Out,0.0
0,Check-Out,254.0
1,Canceled,192.0
0,Check-Out,221.0
1,Canceled,120.6
0,Check-Out,211.0
1,Canceled,147.6
0,Check-Out,129.0
1,Canceled,205.0
0,Check-Out,147.07
1,Canceled,107.2
0,Check-Out,179.1
0,Check-Out,164.65
1,Canceled,200.0
1,Canceled,134.0
0,Check-Out,233.0
1,Canceled,190.0
1,Canceled,196.0
1,Canceled,185.57
1,Canceled,175.0
1,Canceled,175.0
0,Check-Out,169.0
0,Check-Out,0.0
0,Check-Out,0.0
1,Canceled,134.0
1,Canceled,211.0
1,Canceled,134.0
1,Canceled,120.6
1,Canceled,120.6
1,Canceled,112.5
1,Canceled,164.0
1,Canceled,120.6
0,Check-Out,154.0
1,Canceled,207.0
1,Canceled,214.0
1,Canceled,186.0
0,Check-Out,154.0
1,Canceled,162.3
1,Canceled,186.0
1,Canceled,241.0
1,Canceled,274.93
0,Check-Out,156.73
1,Canceled,156.73
1,Canceled,134.0
1,Canceled,134.0
0,Check-Out,211.0
0,Check-Out,200.7
0,Check-Out,142.26
1,Canceled,196.0
0,Check-Out,129.41
1,Canceled,98.02
1,Canceled,120.6
1,No-Show,191.0
1,Canceled,191.0
0,Check-Out,252.0
0,Check-Out,157.08
1,No-Show,258.33
1,Canceled,211.0
1,Canceled,211.0
1,Canceled,133.21
1,Canceled,173.5
1,Canceled,90.95
0,Check-Out,90.95
0,Check-Out,90.95
0,Check-Out,134.0
1,Canceled,120.6
0,Check-Out,172.0
0,Check-Out,184.45
0,Check-Out,158.0
1,Canceled,184.45
1,Canceled,120.6
1,Canceled,114.14
0,Check-Out,168.8
1,Canceled,178.33
0,Check-Out,255.0
1,Canceled,178.33
0,Check-Out,196.0
0,Check-Out,87.91
1,Canceled,211.0
1,Canceled,187.2
0,Check-Out,154.0
0,Check-Out,243.0
0,Check-Out,222.2
0,Check-Out,243.0
1,Canceled,178.2
1,Canceled,107.2
0,Check-Out,0.0
0,Check-Out,203.0
0,Check-Out,173.0
0,Check-Out,172.0
0,Check-Out,120.6
0,Check-Out,172.0
0,Check-Out,266.4
0,Check-Out,236.0
1,Canceled,271.0
1,Canceled,232.0
0,Check-Out,223.0
0,Check-Out,178.67
1,Canceled,133.0
1,Canceled,195.5
0,Check-Out,167.25
1,Canceled,209.0
0,Check-Out,166.0
0,Check-Out,195.8
1,Canceled,229.0
0,Check-Out,160.0
1,Canceled,266.0
0,Check-Out,96.3
0,Check-Out,107.0
1,Canceled,262.0
0,Check-Out,182.5
0,Check-Out,157.0
0,Check-Out,234.0
0,Check-Out,242.5
0,Check-Out,157.0
1,Canceled,158.4
1,Canceled,208.0
1,Canceled,183.45
0,Check-Out,131.2
1,Canceled,133.0
0,Check-Out,135.0
1,Canceled,133.0
0,Check-Out,248.0
1,Canceled,209.2
0,Check-Out,107.0
0,Check-Out,299.33
0,Check-Out,156.45
1,Canceled,135.0
1,Canceled,149.0
0,Check-Out,107.0
1,Canceled,135.0
1,Canceled,135.0
0,Check-Out,145.75
1,Canceled,132.6
0,Check-Out,200.71
1,Canceled,198.71
1,Canceled,218.0
0,Check-Out,101.65
1,Canceled,186.0
1,Canceled,160.0
1,Canceled,188.71
0,Check-Out,107.0
1,Canceled,181.94
0,Check-Out,172.0
0,Check-Out,172.0
1,Canceled,185.0
0,Check-Out,172.0
0,Check-Out,172.0
1,Canceled,184.45
0,Check-Out,195.0
0,Check-Out,172.0
0,Check-Out,172.0
0,Check-Out,153.0
1,Canceled,184.45
1,Canceled,184.45
1,Canceled,185.0
1,Canceled,108.54
1,Canceled,154.0
1,Canceled,248.0
1,Canceled,150.53
1,Canceled,150.53
1,Canceled,154.0
1,Canceled,223.99
1,Canceled,154.0
1,Canceled,154.0
1,Canceled,154.0
0,Check-Out,214.0
1,Canceled,96.3
1,Canceled,175.79
1,Canceled,134.0
1,Canceled,134.0
0,Check-Out,183.0
1,Canceled,149.4
1,Canceled,165.11
1,Canceled,209.4
0,Check-Out,134.0
0,Check-Out,225.9
0,Check-Out,131.1
1,Canceled,134.0
1,Canceled,187.0
1,Canceled,133.0
0,Check-Out,101.65
0,Check-Out,133.0
1,Canceled,120.0
1,Canceled,133.0
0,Check-Out,133.0
1,Canceled,133.0
1,Canceled,134.0
1,Canceled,87.9
1,Canceled,202.0
1,Canceled,213.0
1,Canceled,172.55
0,Check-Out,172.0
